"","RegionNum","State","PointID","Site","Treatment","runnel_age","Point_X","Point_Y","VisitNum","SurveyWindow","SurveyDate","Year","Month","Day","Observer","Tide","SurveyTime","TempF","Sky","WindSp","Noise","DistBand","Site_Date","totalbirds","saltysparrow","totalsparrow","AGWT","ALFL","AMCR","AMDU","AMGO","AMOY","AMRE","AMRO","BANS","BAOR","BARS","BBGU","BBPL","BCCH","BHCO","BLJA","BLPW","BOBO","BRTH","CAGO","CANG","CARW","CEDW","CHSP","CHSW","CLRA","COEI","COGR","COTE","COYE","CSWA","DCCO","DUNL","EAKI","EAPH","EATO","EUST","EWPW","GBBG","GBHE","GCFL","GLIB","GRCA","GREG","GRHE","GRYE","GWTE","HAWO","HERG","HETH","HOFI","HOSP","HOWR","KILL","LBHE","LESA","LETE","LEYE","MALL","MAWR","MODO","MUSW","NESP","NOCA","NOGO","NOMO","NRWS","OROR","OSPR","PAWA","PEEP","PUMA","RBME","RECR","RTHA","RUBL","RWBL","SALS","SAND","SBDO","SEOW","SEPL","SESA","SESP","SNEG","SOSP","SPSA","STSP","TRES","TUTI","TUVU","UNK_SP","VIRA","Warbler","WEVI","WIFL","WILL","WITU","WOTH","WREN","WRSA","YEWA"
"1",2,"MA","BCM SHARP1 - NAC","Broad Cove","No Action",NA,-71.1339,41.795,1,1,"5/23/2022",2022,5,23,"JLG","Low","8:22",66,2,2,3,"0-50m","BCM SHARP1 - NAC 5/23/2022  ",9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",2,"MA","BCM SHARP1 - NAC","Broad Cove","No Action",NA,-71.1339,41.795,1,1,"5/23/2022",2022,5,23,"JLG","Low","8:22",66,2,2,3,"51-100m","BCM SHARP1 - NAC 5/23/2022  ",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"3",2,"MA","BCM SHARP1 - NAC","Broad Cove","No Action",NA,-71.1339,41.795,2,2,"6/22/2022",2022,6,22,"JLG","Low/Falling","7:41",63,2,1,2,"51-100m","BCM SHARP1 - NAC 6/22/2022  ",5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",2,"MA","BCM SHARP1 - NAC","Broad Cove","No Action",NA,-71.1339,41.795,2,2,"6/22/2022",2022,6,22,"JLG","Low/Falling","7:41",63,2,1,2,"0-50m","BCM SHARP1 - NAC 6/22/2022  ",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",2,"MA","BCM SHARP1 - NAC","Broad Cove","No Action",NA,-71.1339,41.795,2,2,"6/22/2022",2022,6,22,"JLG","Low/Falling","7:41",63,2,1,2,">100m","BCM SHARP1 - NAC 6/22/2022  ",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",2,"MA","BCM SHARP2 - REF","Broad Cove","Reference",NA,-71.13286,41.79348,1,1,"5/23/2022",2022,5,23,"JLG","Low","8:44",64,2,3,3,"0-50m","BCM SHARP2 - REF 5/23/2022  ",6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"7",2,"MA","BCM SHARP2 - REF","Broad Cove","Reference",NA,-71.13286,41.79348,1,1,"5/23/2022",2022,5,23,"JLG","Low","8:44",64,2,3,3,"51-100m","BCM SHARP2 - REF 5/23/2022  ",9,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"8",2,"MA","BCM SHARP2 - REF","Broad Cove","Reference",NA,-71.13286,41.79348,2,2,"6/22/2022",2022,6,22,"JLG","Low/Falling","7:21",61,2,1,2,"0-50m","BCM SHARP2 - REF 6/22/2022  ",8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",2,"MA","BCM SHARP2 - REF","Broad Cove","Reference",NA,-71.13286,41.79348,2,2,"6/22/2022",2022,6,22,"JLG","Low/Falling","7:21",61,2,1,2,"51-100m","BCM SHARP2 - REF 6/22/2022  ",13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",2,"MA","BCM SHARP2 - REF","Broad Cove","Reference",NA,-71.13286,41.79348,1,1,"5/22/2023",2023,5,22,"JLG/LG","Low/Rising","7:28",54,0,1,2,"0-50m","BCM SHARP2 - REF 5/22/2023  ",20,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",2,"MA","BCM SHARP2 - REF","Broad Cove","Reference",NA,-71.13286,41.79348,1,1,"5/22/2023",2023,5,22,"JLG/LG","Low/Rising","7:28",54,0,1,2,"51-100m","BCM SHARP2 - REF 5/22/2023  ",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",2,"MA","BCM SHARP2 - REF","Broad Cove","Reference",NA,-71.13286,41.79348,2,2,"6/28/2023",2023,6,28,"JLG","Low","8:13",68,2,0,2,"0-50m","BCM SHARP2 - REF 6/28/2023  ",7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",2,"MA","BCM SHARP2 - REF","Broad Cove","Reference",NA,-71.13286,41.79348,2,2,"6/28/2023",2023,6,28,"JLG","Low","8:13",68,2,0,2,"51-100m","BCM SHARP2 - REF 6/28/2023  ",17,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",2,"MA","BCM SHARP3 - RUN","Broad Cove","Runnel",5,-71.13327,41.7925,1,1,"5/23/2022",2022,5,23,"JLG","Low","9:00",67,2,3,2,"0-50m","BCM SHARP3 - RUN 5/23/2022  ",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"15",2,"MA","BCM SHARP3 - RUN","Broad Cove","Runnel",5,-71.13327,41.7925,1,1,"5/23/2022",2022,5,23,"JLG","Low","9:00",67,2,3,2,"51-100m","BCM SHARP3 - RUN 5/23/2022  ",6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
